Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,1,0.0,1.0,0.0,,0.0,0.0,6,5,4,3,1,0.0,0.0,5,4,4,4,3,5,5,1,5,3,5,3,4,5,5,5,1,5,5,23753.801,2232.24,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,3,3,1,1.0,0.0,5,4,3,1,2,2,4,1,4,5,1,2,4,4,2,2,1,1,5,31141.467,4118.053,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,4,5,1,1.0,0.0,4,4,3,3,3,4,4,3,2,3,3,2,3,4,1,1,1,1,1,47312.324,3239.668,
,1,0.0,1.0,0.0,,1.0,0.0,3,1,5,5,1,1.0,0.0,5,1,4,5,5,5,4,1,3,5,5,5,5,3,5,5,5,5,5,50444.594,2777.195,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,3,1,1.0,0.0,4,2,3,3,3,4,2,1,1,2,2,3,3,3,2,2,1,1,5,50217.832,3221.329,
,1,0.0,1.0,0.0,,0.0,0.0,3,2,2,3,1,1.0,0.0,5,5,3,4,4,5,5,3,4,4,4,5,3,1,2,2,1,3,4,50104.797,1336.83,
,1,0.0,1.0,0.0,,1.0,0.0,5,3,3,1,0,1.0,0.0,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,42496.492,2017.692,
,0,0.0,1.0,0.0,,1.0,0.0,4,1,5,3,1,1.0,0.0,1,1,5,2,2,5,5,3,1,4,1,1,3,1,1,4,1,1,1,39906.566,8582.824,
,1,1.0,0.0,0.0,,0.0,1.0,3,0,2,5,1,0.0,0.0,3,1,4,5,5,5,1,1,1,1,1,1,3,3,1,1,1,1,2,40277.352,7915.538,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,3,4,0,0.0,0.0,4,4,4,4,3,5,3,1,1,3,2,2,2,5,1,1,1,2,5,46058.168,7846.615,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,3,4,1,0.0,0.0,2,2,2,4,2,4,2,1,2,2,1,2,5,5,3,3,1,1,2,47813.914,9198.045,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,3,5,1,0.0,0.0,5,2,4,4,4,4,3,2,4,4,3,4,2,2,2,3,1,1,3,46977.477,8483.443,
,1,1.0,0.0,0.0,,0.0,0.0,1,0,3,3,1,1.0,0.0,3,4,3,3,1,4,3,1,3,2,2,2,2,4,5,4,4,3,4,46672.848,5004.636,
,0,1.0,0.0,0.0,,0.0,1.0,1,0,3,3,1,1.0,0.0,5,4,4,4,4,4,4,3,2,4,3,3,3,3,2,3,3,3,4,46697.129,5182.117,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,2,5,1,1.0,0.0,5,5,1,2,1,5,5,1,1,3,1,1,2,4,2,2,2,1,4,46977.758,10838.059,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,4,5,1,1.0,0.0,4,1,4,3,1,4,3,4,2,3,2,4,4,1,3,3,1,3,4,47036.098,11015.19,
,1,1.0,0.0,0.0,,0.0,0.0,1,0,3,3,1,1.0,0.0,3,3,2,2,2,2,1,1,2,2,1,1,3,3,2,2,1,1,1,44605.828,10307.816,
,1,1.0,0.0,0.0,,0.0,0.0,1,0,2,1,0,0.0,0.0,5,5,5,5,5,5,1,1,5,5,1,5,5,1,1,1,1,1,1,43886.688,5774.18,
